,customerid,bank_account_type,bank_name_clients,bank_branch_clients,employment_status_clients,level_of_education_clients,age,village,state,county
0,8a858e135cb22031015cbafc76964ebd,Savings,GT Bank,,,,49.0,Isolo,Lagos,Oshodi/Isolo
1,8a858e275c7ea5ec015c82482d7c3996,Savings,Sterling Bank,,Permanent,,36.0,Ijapo,Ogun,Abeokuta South
2,8a858e5b5bd99460015bdc95cd485634,Savings,Fidelity Bank,,,,35.0,,Delta,
3,8a858efd5ca70688015cabd1f1e94b55,Savings,GT Bank,,Permanent,,31.0,,Lagos,Ikeja
4,8a858e785acd3412015acd48f4920d04,Savings,GT Bank,,Permanent,,40.0,,Kano,Gwale
5,8a858f045bc9690c015bca251e9a4e95,Savings,GT Bank,,Permanent,,44.0,Ewu,Lagos,Oshodi/Isolo
6,8a858ea05a859123015a8892914d15b7,Savings,Access Bank,,Permanent,,32.0,Onigbongbo,Lagos,Ikeja
7,8a858f275c451af5015c546a50ce55ed,Savings,GT Bank,,Permanent,,36.0,,Osun,Ilesha East
8,8a858f405d13c45f015d13dd93ec0c1c,Savings,EcoBank,,Permanent,,30.0,Ajegunle,Lagos,Alimosho
9,8a858f735c161bda015c164d86632026,Savings,EcoBank,,Permanent,,57.0,Iponri,Lagos,Surulere
10,8a858f2a5ce989dd015ce9fc24b1474b,Savings,FCMB,,,,28.0,Magbon,Ogun,Abeokuta South
11,8a858f3a5c10828d015c109746d20aee,Savings,Skye Bank,,Permanent,,52.0,,Delta,
12,8a858fb4563228d201564fd7519f22a8,Other,UBA,,Student,Secondary,28.0,Shangisha,Lagos,Kosofe
13,8a858e9d59e0997b0159eae2e4fa7611,Savings,Zenith Bank,,,,34.0,Igbobi,Lagos,Shomolu
14,8a858f955a61ad4e015a69ee1edd0d3d,Savings,GT Bank,,Permanent,,36.0,Lafia,Lagos,Mushin
15,8a858ff25a6a19ee015a6abff5ed659c,Savings,EcoBank,,Permanent,,34.0,,Federal Capital Territory,Municipal Area Council
16,8a858e6c5c88d145015c894de1a91c5c,Savings,GT Bank,,Permanent,,34.0,,Ogun,Abeokuta South
17,8a858eb45876dcc501587dae11f2283e,Savings,Access Bank,,Permanent,,33.0,Mgbuosimiri,Rivers,Obio/Akpor
18,8a858f2f54e28d530154ecdd303004fa,Savings,Diamond Bank,LAGOS,Permanent,Graduate,39.0,Moba,Lagos,Eti Osa
19,8a858fef570f30e501571fd446d44c81,Savings,GT Bank,,Self-Employed,,35.0,,Osun,Ife Central
20,8a858f6c570f2d660157238b0c4a1bdd,Other,Zenith Bank,,Self-Employed,Graduate,32.0,Awlu,Imo,Orlu
21,8a85893d542e18bc01542e37365c120a,Savings,Zenith Bank,,Permanent,Graduate,34.0,,Ogun,Abeokuta South
22,8a8588f35438fe12015444567666018e,Other,EcoBank,,Permanent,,38.0,,Gombe,
23,8a858f275c451af5015c49a2c43b5fb2,Savings,Sterling Bank,,Permanent,,37.0,Alagbado,Ogun,Ifo
24,8a858e045cd5b1d6015cd9c070a212a5,Savings,UBA,,,,37.0,,Nasarawa,Kokona
25,8a858e2155defefd0155e12953ee00a1,Other,First Bank,,Permanent,Graduate,33.0,Kwa Ibo,Akwa Ibom,Ibeno
26,8a858e4b5a7f868b015a80f3822d505b,Savings,GT Bank,,Permanent,,35.0,Iwaya,Lagos,Lagos Mainland
27,8a858f0056b7cf8e0156bbeefc4933cc,Other,EcoBank,,Self-Employed,,41.0,Ejigbo,Lagos,Oshodi/Isolo
28,8a858f0e5a6171ba015a648137c361bc,Savings,GT Bank,,Permanent,,29.0,,Lagos,Kosofe
29,8a858f125c5f88b1015c603d2810428c,Savings,GT Bank,,Permanent,,38.0,Obia,Rivers,Obio/Akpor
30,8a858ee75a6156c0015a635f394a5f79,Savings,Access Bank,,Permanent,,40.0,,Oyo,Ibadan North East
31,8a858eed5af07cc4015af10da7565173,Savings,GT Bank,,Permanent,,46.0,Itire,Lagos,Surulere
32,8a858f445d41ebbe015d50c105334acc,Savings,GT Bank,,,,36.0,Akessan,Lagos,Alimosho
33,8a858f285d3ca5c4015d3cbb1f94073a,Current,GT Bank,,Permanent,,45.0,Rumuoparali,Rivers,
34,8a858f225bfdb280015c108bf6f53281,Savings,Union Bank,,Permanent,,35.0,Ishaga,Lagos,Oshodi/Isolo
35,8a858f6c5cac8f53015cafeb15141be1,Savings,GT Bank,,Permanent,,30.0,Alausa,Lagos,Ikeja
36,8a858f675c1c43bc015c2049f2d20224,Savings,Access Bank,,Permanent,,46.0,Itirin,Lagos,Eti Osa
37,8a858f7e564ad338015654d3a5c242a5,Other,GT Bank,,Permanent,,34.0,Chini,Nasarawa,Wamba
38,8a858e165b90faf9015b9a873738471e,Savings,Access Bank,,Permanent,,35.0,Aroye,Oyo,Ona Ara
39,8a858ea4582fcdc80158338316a258e3,Other,FCMB,,Permanent,Graduate,43.0,,Ondo,Akure South
40,8a858f3c5c16cadb015c177e274650b9,Savings,Zenith Bank,,Permanent,,46.0,,Delta,
41,8a858f2b5bf35819015bf3cc59193622,Savings,GT Bank,,Permanent,,37.0,Akunlepon,Oyo,Oluyole
42,8a858ec555f82a230155f92ff37d0b31,Other,Zenith Bank,,Self-Employed,Post-Graduate,39.0,,Federal Capital Territory,Municipal Area Council
43,8a858f255cb1710a015cb56393f60d1b,Savings,Skye Bank,,Permanent,,49.0,,Lagos,Ikeja
44,8a858f6f5b3f095b015b4083532532a0,Savings,Access Bank,,Permanent,,31.0,Losi,Lagos,
45,8a858fa257d8223c0157e7e6ce253dd8,Other,Access Bank,,Permanent,Graduate,34.0,Katambe,Federal Capital Territory,Municipal Area Council
46,8a858f335cd0c78e015cd435d7192800,Savings,GT Bank,,Permanent,,41.0,Bandu,Ogun,Ado Odo/Ota
47,8a858953548fb0c001549b31ac5f6dda,Other,Stanbic IBTC,,Unemployed,Graduate,37.0,Obanikoro,Lagos,Shomolu
48,8a858eba5b681df4015b7b63e6ed6a23,Savings,First Bank,,Permanent,,34.0,,Lagos,Eti Osa
49,8a858f8e5986f510015987965aa9183a,Savings,Diamond Bank,LADIPO,Permanent,Secondary,43.0,,Lagos,Ikeja
50,8a858ee55cb156e6015cb650b14467f0,Savings,First Bank,,Student,,27.0,Ugbowo,Edo,Egor
51,8a858f9157f7b9670157fa9d4e7546e0,Other,First Bank,,Permanent,,48.0,Ehere,Abia,Aba North
52,8a85883353d0c4e90153dfca251168bc,Other,GT Bank,,Self-Employed,,33.0,Idu,Federal Capital Territory,Municipal Area Council
53,8a858fa55acd8061015ad15eb8b47940,Savings,Zenith Bank,,Permanent,,33.0,,Cross River,Calabar Municipal
